HW1,HW2,HW3,HW4,HW5,HW6,HW7,HW8,HW9,ATT,QZ1,QZ2,QZ3,QZ4,EX1,EX2,Test1,Test2,Homework,Quiz,Lab,Overall,Grade
100,100,100,100,100,100,100,100,100,12,100,100,100,100,80,90,100,100,100,100,100,100,A+
85,95,100,95,95,95,100,100,100,12,91.66666667,88.88888889,90,95,57.6,74.7,72,83,97.5,92.22,100,88.233,A-
87.5,100,85,70,100,98,0,80,0,7,83.33333333,55.55555556,50,0,56.8,54.9,71,61,77.56,62.96,20,64.162,C-
92.5,100,100,100,96.25,99,100,92.5,95,12,66.66666667,88.88888889,65,65,69.6,58.05,87,64.5,97.84,73.52,100,83.905,B
32.5,0,65,60,0,46,0,0,0,5,41.66666667,50,0,0,40,16.2,50,18,25.44,30.56,0,26.716,F
75,85,92.5,95,100,91,0,0,90,9,91.66666667,94.44444444,0,75,73.6,71.1,92,79,78.56,87.04,60,80.774,B-
90,100,97.5,95,80,80,52,90,90,12,91.66666667,50,75,90,78.4,68.85,98,76.5,90.31,85.56,100,88.652,A-
92.5,95,100,90,100,72,95,74.5,100,12,83.33333333,44.44444444,60,65,52,63.9,65,71,93.38,69.44,100,79.18,C+
82.5,85,92.5,70,100,0,84,90,95,12,91.66666667,100,70,95,80,73.8,100,82,87.38,95.56,100,91.048,A
75,95,95,95,95,96,0,100,98,12,58.33333333,55.55555556,65,80,63.2,70.65,79,78.5,93.62,67.78,100,83.678,B
0,77.5,0,15,0,70,80,80,57.5,11,66.66666667,27.77777778,35,15,21.6,50.4,27,56,47.5,43.15,100,50.1225,D
95,100,100,100,100,90,100,100,70,12,100,100,80,100,77.6,87.3,97,97,98.12,100,100,98.086,A+
82.5,0,82.5,80,100,0,0,0,70,12,75,38.88888889,45,60,42.4,41.4,53,46,51.88,60,100,56.664,D
80,92.5,87.5,100,100,69,51.5,80,75,12,100,83.33333333,67.5,100,70.4,68.4,88,76,85.5,94.44,100,86.416,B+
87.5,100,100,100,85,90,100,100,80,12,66.66666667,72.22222222,60,75,68,70.2,85,78,95.31,71.3,100,85.788,B
50,0,67.5,50,0,78,41.5,82.5,80,11,33.33333333,55.55555556,70,85,40,36.9,50,41,56.19,70.19,100,57.6355,D
47.5,70,77.5,30,85,55,78,92.5,80,11,66.66666667,16.66666667,0,30,47.2,20.7,59,23,73.19,37.78,100,55.174,D
77.5,85,100,100,95,93,82,90,95,12,75,55.55555556,70,65,59.2,69.3,74,77,92.5,70,100,82.3,B
65,92.5,92.5,0,95,80,74,80,80,12,83.33333333,50,65,70,64,67.95,80,75.5,82.38,72.78,100,80.506,B-
52.5,75,85,90,86.25,99,70,100,0,8,66.66666667,77.77777778,25,50,61.6,62.1,77,69,82.22,64.81,40,71.0375,C
77.5,97.5,100,100,100,100,100,100,100,12,91.66666667,100,70,100,69.6,70.2,87,78,99.69,97.22,100,91.39,A
