name,team_name,game_date,season,espn_player_id,team_id,espn_game_id,period,minutes_remaining,seconds_remaining,shot_made_flag,action_type,shot_type,shot_distance,opponent,x,y,dribbles,touch_time,defender_name,defender_distance,shot_clock
"Jeremy Lin","Brooklyn Nets",2017-03-24,2016,4299,1610612751,400900467,2,6,23,1,"Cutting Layup Shot","2PT Field Goal",1,"Washington Wizards",15,3,0,0.00,,0.00,0.00
"Jeremy Lin","Brooklyn Nets",2017-04-06,2016,4299,1610612751,400900552,1,10,41,1,"Cutting Layup Shot","2PT Field Goal",2,"Orlando Magic",24,7,0,0.00,,0.00,0.00
"Jeremy Lin","Brooklyn Nets",2016-11-02,2016,4299,1610612751,400899507,1,6,29,1,"Cutting Layup Shot","2PT Field Goal",0,"Detroit Pistons",0,2,0,0.00,,0.00,0.00
"Jeremy Lin","Brooklyn Nets",2017-02-25,2016,4299,1610612751,400900279,1,9,51,1,"Cutting Layup Shot","2PT Field Goal",1,"Golden State Warriors",-12,11,0,0.00,,0.00,0.00
"Jeremy Lin","Brooklyn Nets",2017-03-01,2016,4299,1610612751,400899448,3,10,41,1,"Cutting Layup Shot","2PT Field Goal",2,"Sacramento Kings",-22,8,0,0.00,,0.00,0.00
"Jeremy Lin","Brooklyn Nets",2017-03-04,2016,4299,1610612751,400900321,1,9,19,0,"Cutting Layup Shot","2PT Field Goal",0,"Portland Trail Blazers",2,-6,0,0.00,,0.00,0.00
"Jeremy Lin","Brooklyn Nets",2016-12-12,2016,4299,1610612751,400899806,3,0,31,1,"Driving Bank shot","2PT Field Goal",6,"Houston Rockets",-52,43,0,0.00,,0.00,0.00
"Jeremy Lin","Brooklyn Nets",2017-04-06,2016,4299,1610612751,400900552,4,0,24,1,"Driving Finger Roll Layup Shot","2PT Field Goal",1,"Orlando Magic",-1,16,0,0.00,,0.00,0.00
"Jeremy Lin","Brooklyn Nets",2017-03-04,2016,4299,1610612751,400900321,4,4,08,0,"Driving Floating Bank Jump Shot","2PT Field Goal",4,"Portland Trail Blazers",43,11,0,0.00,,0.00,0.00
"Jeremy Lin","Brooklyn Nets",2017-03-14,2016,4299,1610612751,400900395,2,0,42,1,"Driving Floating Bank Jump Shot","2PT Field Goal",3,"Oklahoma City Thunder",-27,26,0,0.00,,0.00,0.00
